GeneA,GeneB
O00221,Q9Y230
O00221,Q9Y618
O00221,Q9Y6K9
O00222,O75925
O00222,O75928
O00222,P21333
O00222,Q5JY77
O00230,P30872
O00230,P30874
O00230,P31391
O00230,P32745
O00230,P35346
O00230,Q92847
O00230,Q96LB1
O00231,D3DR86
O00231,O00232
O00231,O00487
O00231,O00506
O00231,O14818
O00231,O15205
O00231,O43242
O00231,O43741
O00231,O60260
O00231,O60383
O00231,O75832
O00231,P02751
O00231,P04406
O00231,P04637
O00231,P05067
O00231,P0CG48
O00231,P13569
O00231,P15735
O00231,P17980
O00231,P19320
O00231,P20618
O00231,P21246
O00231,P24941
O00231,P25786
O00231,P25787
O00231,P25788
O00231,P25789
O00231,P26641
O00231,P28066
O00231,P28070
O00231,P28074
O00231,P34947
O00231,P35228
O00231,P35998
O00231,P43686
O00231,P48556
O00231,P49720
O00231,P49721
O00231,P51665
O00231,P54257
O00231,P54578
O00231,P54646
O00231,P54725
O00231,P55036
O00231,P60896
O00231,P60900
O00231,P61289
O00231,P61956
O00231,P62191
O00231,P62195
O00231,P62241
O00231,P62244
O00231,P62333
O00231,P62993
O00231,P63165
O00231,P63220
O00231,P68104
O00231,P84022
O00231,Q00653
O00231,Q04724
O00231,Q05516
O00231,Q06455
O00231,Q13107
O00231,Q13131
O00231,Q13188
O00231,Q13200
O00231,Q13432
O00231,Q13485
O00231,Q13885
O00231,Q14194
O00231,Q14318
O00231,Q15008
O00231,Q15047
O00231,Q15262
O00231,Q15418
O00231,Q15796
O00231,Q15797
O00231,Q16186
O00231,Q5JR01
O00231,Q5RL73
O00231,Q5S007
O00231,Q5T3J3
O00231,Q5TG12
O00231,Q5UIP0
O00231,Q5VYK3
O00231,Q7L5N1
O00231,Q8TCJ0
O00231,Q8WXH4
O00231,Q96ID5
O00231,Q96LA8
O00231,Q99436
O00231,Q99460
O00231,Q99717
O00231,Q9BQ83
O00231,Q9BRP4
O00231,Q9GZT6
O00231,Q9H7U1
O00231,Q9NPI1
O00231,Q9P078
O00231,Q9P0J7
O00231,Q9UKY1
O00231,Q9UNM6
O00231,Q9UQL6
O00231,Q9Y2K6
O00231,Q9Y3C5
O00231,Q9Y3C7
O00231,Q9Y4E8
O00231,Q9Y4K3
O00231,Q9Y5K5
O00231,Q9Y5U4
O00231,Q9Y606
O00231,Q9Y6E0
O00232,O00487
O00232,O00506
O00232,O14818
O00232,O15205
O00232,O15371
O00232,O43242
O00232,O43396
O00232,O60260
O00232,O75369
O00232,O75832
O00232,O95817
O00232,P01241
O00232,P06748
O00232,P0CG48
O00232,P15735
O00232,P17980
O00232,P20618
O00232,P22392
O00232,P25786
O00232,P25787
O00232,P25789
O00232,P28066
O00232,P28070
O00232,P28072
O00232,P28074
O00232,P35228
O00232,P35558
O00232,P35998
O00232,P43686
O00232,P48556
O00232,P49720
O00232,P49721
O00232,P51665
O00232,P54578
O00232,P54725
O00232,P55036
O00232,P60228
O00232,P60896
O00232,P60900
